Number	Northing	Easting	Elevation	Raw Desc	Latitude	Longitude
10167	2113140.316450	6763548.80923	0.00	A1 R1 P67	38.96252104810	-121.28998603400
10168	2113140.294420	6763552.14263	0.00	A1 R1 P68	38.96252091620	-121.28997431200
10169	2113140.272730	6763555.47586	0.00	A1 R1 P69	38.96252078510	-121.28996258900
10170	2113140.251340	6763558.80928	0.00	A1 R1 P70	38.96252065480	-121.28995086700
10108	2113141.595700	6763352.14664	0.00	A1 R1 P8	38.96252877750	-121.29067764100
10171	2113140.229520	6763562.14255	0.00	A1 R1 P71	38.96252052340	-121.28993914500
10172	2113140.207650	6763565.47563	0.00	A1 R1 P72	38.96252039190	-121.28992742300
10173	2113140.185980	6763568.80886	0.00	A1 R1 P73	38.96252026080	-121.28991570100
10174	2113140.164600	6763572.14229	0.00	A1 R1 P74	38.96252013060	-121.28990397800
10175	2113140.142690	6763575.47562	0.00	A1 R1 P75	38.96251999890	-121.28989225600
10176	2113140.120990	6763578.80869	0.00	A1 R1 P76	38.96251986780	-121.28988053500
10177	2113140.099230	6763582.14186	0.00	A1 R1 P77	38.96251973660	-121.28986881300
10178	2113140.077890	6763585.47524	0.00	A1 R1 P78	38.96251960650	-121.28985709000
10179	2113140.055890	6763588.80857	0.00	A1 R1 P79	38.96251947450	-121.28984536800
10180	2113140.034210	6763592.14168	0.00	A1 R1 P80	38.96251934350	-121.28983364600
10109	2113141.573880	6763355.47979	0.00	A1 R1 P9	38.96252864610	-121.29066591900
10181	2113140.012470	6763595.47486	0.00	A1 R1 P81	38.96251921230	-121.28982192400
10182	2113139.991090	6763598.80828	0.00	A1 R1 P82	38.96251908200	-121.28981020200
10183	2113139.969190	6763602.14160	0.00	A1 R1 P83	38.96251895040	-121.28979847900
10184	2113139.947510	6763605.47468	0.00	A1 R1 P84	38.96251881930	-121.28978675800
10185	2113139.925940	6763608.80615	0.00	A1 R1 P85	38.96251868860	-121.28977504200
10110	2113141.552510	6763358.81319	0.00	A1 R1 P10	38.96252851600	-121.29065419600
10201	2113131.748110	6763328.91416	0.00	A1 R2 P1	38.96250223650	-121.29075961700
10202	2113131.726320	6763332.24751	0.00	A1 R2 P2	38.96250210530	-121.29074789500
10211	2113131.531280	6763362.24682	0.00	A1 R2 P11	38.96250092680	-121.29064239600
10212	2113131.509390	6763365.58020	0.00	A1 R2 P12	38.96250079530	-121.29063067300
10213	2113131.487850	6763368.91363	0.00	A1 R2 P13	38.96250066470	-121.29061895100
10214	2113131.466130	6763372.24674	0.00	A1 R2 P14	38.96250053360	-121.29060722900
10215	2113131.444520	6763375.57984	0.00	A1 R2 P15	38.96250040280	-121.29059550700
10216	2113131.422720	6763378.91325	0.00	A1 R2 P16	38.96250027150	-121.29058378500
10217	2113131.401110	6763382.24664	0.00	A1 R2 P17	38.96250014070	-121.29057206200
10218	2113131.379340	6763385.57979	0.00	A1 R2 P18	38.96250000950	-121.29056034000
10219	2113131.357770	6763388.91292	0.00	A1 R2 P19	38.96249987880	-121.29054861900
10220	2113131.335990	6763392.24625	0.00	A1 R2 P20	38.96249974760	-121.29053689600
10203	2113131.704720	6763335.58077	0.00	A1 R2 P3	38.96250197450	-121.29073617300
10221	2113131.314350	6763395.57964	0.00	A1 R2 P21	38.96249961670	-121.29052517400
10222	2113131.292680	6763398.91283	0.00	A1 R2 P22	38.96249948580	-121.29051345200
10223	2113131.271040	6763402.24591	0.00	A1 R2 P23	38.96249935490	-121.29050173000
10224	2113131.249220	6763405.57925	0.00	A1 R2 P24	38.96249922350	-121.29049000800
10225	2113131.227650	6763408.91253	0.00	A1 R2 P25	38.96249909280	-121.29047828600
10226	2113131.205820	6763412.24570	0.00	A1 R2 P26	38.96249896140	-121.29046656400
10227	2113131.184160	6763415.57902	0.00	A1 R2 P27	38.96249883050	-121.29045484200
10228	2113131.162620	6763418.91231	0.00	A1 R2 P28	38.96249869990	-121.29044311900
10229	2113131.140750	6763422.24559	0.00	A1 R2 P29	38.96249856840	-121.29043139700
10230	2113131.119280	6763425.57885	0.00	A1 R2 P30	38.96249843800	-121.29041967500
10204	2113131.683040	6763338.91388	0.00	A1 R2 P4	38.96250184360	-121.29072445100
10231	2113131.097400	6763428.91226	0.00	A1 R2 P31	38.96249830640	-121.29040795200
10232	2113131.075820	6763432.24567	0.00	A1 R2 P32	38.96249817570	-121.29039623000
10233	2113131.054070	6763435.57876	0.00	A1 R2 P33	38.96249804450	-121.29038450800
10234	2113131.032520	6763438.91186	0.00	A1 R2 P34	38.96249791390	-121.29037278700
10235	2113131.010680	6763442.24528	0.00	A1 R2 P35	38.96249778250	-121.29036106400
10236	2113130.989060	6763445.57868	0.00	A1 R2 P36	38.96249765160	-121.29034934100
10237	2113130.967320	6763448.91182	0.00	A1 R2 P37	38.96249752050	-121.29033762000
10238	2113130.945720	6763452.24493	0.00	A1 R2 P38	38.96249738970	-121.29032589800
10239	2113130.923940	6763455.57829	0.00	A1 R2 P39	38.96249725840	-121.29031417600
10240	2113130.902290	6763458.91168	0.00	A1 R2 P40	38.96249712750	-121.29030245300
10205	2113131.661240	6763342.24719	0.00	A1 R2 P5	38.96250171230	-121.29071272900
10241	2113130.880620	6763462.24483	0.00	A1 R2 P41	38.96249699650	-121.29029073100
10242	2113130.858970	6763465.57793	0.00	A1 R2 P42	38.96249686560	-121.29027901000
10243	2113130.837170	6763468.91128	0.00	A1 R2 P43	38.96249673430	-121.29026728700
10244	2113130.815600	6763472.24454	0.00	A1 R2 P44	38.96249660360	-121.29025556500
10245	2113130.793780	6763475.57770	0.00	A1 R2 P45	38.96249647220	-121.29024384300
10246	2113130.772100	6763478.91104	0.00	A1 R2 P46	38.96249634120	-121.29023212100
10247	2113130.750580	6763482.24433	0.00	A1 R2 P47	38.96249621060	-121.29022039900
10248	2113130.728680	6763485.57760	0.00	A1 R2 P48	38.96249607900	-121.29020867600
10249	2113130.707230	6763488.91086	0.00	A1 R2 P49	38.96249594860	-121.29019695400
10250	2113130.685350	6763492.24428	0.00	A1 R2 P50	38.96249581700	-121.29018523200
10206	2113131.639640	6763345.58049	0.00	A1 R2 P6	38.96250158150	-121.29070100700
10251	2113130.663750	6763495.57769	0.00	A1 R2 P51	38.96249568620	-121.29017350900
10252	2113130.641960	6763498.91077	0.00	A1 R2 P52	38.96249555490	-121.29016178800
10253	2113130.620440	6763502.24386	0.00	A1 R2 P53	38.96249542430	-121.29015006600
10254	2113130.598610	6763505.57729	0.00	A1 R2 P54	38.96249529290	-121.29013834300
10255	2113130.576980	6763508.91069	0.00	A1 R2 P55	38.96249516200	-121.29012662100
10256	2113130.555260	6763512.24383	0.00	A1 R2 P56	38.96249503090	-121.29011489900
10257	2113130.533650	6763515.57694	0.00	A1 R2 P57	38.96249490010	-121.29010317700
10258	2113130.511860	6763518.91029	0.00	A1 R2 P58	38.96249476870	-121.29009145500
10259	2113130.490220	6763522.24369	0.00	A1 R2 P59	38.96249463780	-121.29007973200
10260	2113130.468550	6763525.57684	0.00	A1 R2 P60	38.96249450680	-121.29006801100
10207	2113131.617790	6763348.91369	0.00	A1 R2 P7	38.96250145010	-121.29068928500
10261	2113130.446890	6763528.90993	0.00	A1 R2 P61	38.96249437590	-121.29005628900
10262	2113130.425110	6763532.24329	0.00	A1 R2 P62	38.96249424450	-121.29004456700
10263	2113130.403480	6763535.57669	0.00	A1 R2 P63	38.96249411370	-121.29003284400
10264	2113130.381760	6763538.90984	0.00	A1 R2 P64	38.96249398250	-121.29002112200
